Restaurant Name,City,Address,Locality,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Country
Le Petit Souffle,Makati City,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","Century City Mall, Poblacion, Makati City","French, Japanese, Desserts",1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,314,Phillipines
Izakaya Kikufuji,Makati City,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City",Japanese,1200,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,591,Phillipines
Heat - Edsa Shangri-La,Mandaluyong City,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City","Seafood, Asian, Filipino, Indian",4000,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,270,Phillipines
Ooma,Mandaluyong City,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","Japanese, Sushi",1500,Botswana Pula(P),No,No,No,No,4,4.9,Dark Green,Excellent,365,Phillipines
Sambo Kojin,Mandaluyong City,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","Japanese, Korean",1500,Botswana Pula(P),Yes,No,No,No,4,4.8,Dark Green,Excellent,229,Phillipines
Din Tai Fung,Mandaluyong City,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City",Chinese,1000,Botswana Pula(P),No,No,No,No,3,4.4,Green,Very Good,336,Phillipines
Buffet 101,Pasay City,"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","Asian, European",2000,Botswana Pula(P),Yes,No,No,No,4,4.0,Green,Very Good,520,Phillipines
Vikings,Pasay City,"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","Seafood, Filipino, Asian, European",2000,Botswana Pula(P),Yes,No,No,No,4,4.2,Green,Very Good,677,Phillipines
Spiral - Sofitel Philippine Plaza Manila,Pasay City,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City","Sofitel Philippine Plaza Manila, Pasay City","European, Asian, Indian",6000,Botswana Pula(P),Yes,No,No,No,4,4.9,Dark Green,Excellent,621,Phillipines
Locavore,Pasig City,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",Kapitolyo,Filipino,1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,532,Phillipines
Silantro Fil-Mex,Pasig City,"75 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Filipino, Mexican",800,Botswana Pula(P),No,No,No,No,3,4.9,Dark Green,Excellent,1070,Phillipines
Mad Mark's Creamery & Good Eats,Pasig City,"23 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"American, Ice Cream, Desserts",900,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,488,Phillipines
Silantro Fil-Mex,Quezon City,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City","UP Town Center, Diliman, Quezon City","Filipino, Mexican",800,Botswana Pula(P),No,No,No,No,3,4.8,Dark Green,Excellent,294,Phillipines
Guevarra's,San Juan City,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",Addition Hills,Filipino,1000,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,458,Phillipines
Sodam Korean Restaurant,San Juan City,"17 J. Abad Santos Drive, Little Baguio, San Juan City",Little Baguio,Korean,700,Botswana Pula(P),No,No,No,No,3,4.3,Green,Very Good,223,Phillipines
Cafe Arabelle,Santa Rosa,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa","Cafe, American, Italian, Filipino",800,Botswana Pula(P),No,No,No,No,3,3.6,Yellow,Good,29,Phillipines
Nonna's Pasta & Pizzeria,Santa Rosa,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa","Italian, Pizza",850,Botswana Pula(P),No,No,No,No,3,4.0,Green,Very Good,72,Phillipines
Balay Dako,Tagaytay City,"Aguinaldo Highway, Tagaytay City",Tagaytay City,Filipino,1200,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,211,Phillipines
Hobing Korean Dessert Cafe,Taguig City,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City","BGC Stopover Pavillion, Bonifacio Global City","Cafe, Korean, Desserts",600,Botswana Pula(P),No,No,No,No,2,4.5,Dark Green,Excellent,118,Phillipines
Wildflour Cafe + Bakery,Taguig City,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",Bonifacio Global City,"Cafe, Bakery, American, Italian",1500,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,392,Phillipines
NIU by Vikings,Taguig City,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","Seafood, American, Mediterranean, Japanese",3000,Botswana Pula(P),Yes,No,No,No,4,4.7,Dark Green,Excellent,535,Phillipines
The Food Hall by Todd English,Taguig City,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","American, Asian, Italian, Seafood",1800,Botswana Pula(P),Yes,No,No,No,4,4.5,Dark Green,Excellent,618,Phillipines
Chez Michou,Brasí_lia,"SCLN, 208, Bloco A, Loja 30, Asa Norte, Brasí_lia",Asa Norte,"Fast Food, French",55,Brazilian Real(R$),No,No,No,No,2,3.0,Orange,Average,6,Brazil
Cafí© Daniel Briand,Brasí_lia,"SCLN 104, Bloco A, Loja 26, Asa Norte, Brasí_lia",Asa Norte,Cafe,30,Brazilian Real(R$),No,No,No,No,1,3.8,Yellow,Good,9,Brazil
Casa do Biscoito Mineiro,Brasí_lia,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Brasí_lia",Asa Norte,Bakery,45,Brazilian Real(R$),No,No,No,No,2,3.7,Yellow,Good,11,Brazil
Maori,Brasí_lia,"CLN 110, Bloco D, Loja 28, Asa Norte, Brasí_lia",Asa Norte,Brazilian,60,Brazilian Real(R$),No,No,No,No,3,3.8,Yellow,Good,11,Brazil
Pizza íæ Bessa,Brasí_lia,"SCS 214, Bloco C, Loja 40, Asa Sul, Brasí_lia",Asa Sul,Pizza,50,Brazilian Real(R$),No,No,No,No,2,3.2,Orange,Average,11,Brazil
Sushi Loko,Brasí_lia,"SCS 213, Bloco C, Loja 35, Asa Sul, Brasí_lia",Asa Sul,Japanese,80,Brazilian Real(R$),No,No,No,No,3,3.1,Orange,Average,10,Brazil
Beirute,Brasí_lia,"CLS 109, Bloco A, Loja 2/6, Asa Sul, Brasí_lia",Asa Sul,Arabian,90,Brazilian Real(R$),No,No,No,No,3,3.7,Yellow,Good,8,Brazil
New Koto,Brasí_lia,"SCS 212, Bloco B, Loja 26, Asa Sul, Brasí_lia",Asa Sul,Japanese,200,Brazilian Real(R$),No,No,No,No,4,3.7,Yellow,Good,5,Brazil
